year,avg_temp
1832,20.31
1833,21.29
1834,20.58
1835,19.99
1836,20.21
1837,19.65
1838,20.09
1839,19.89
1840,20.57
1841,20.26
1842,20.69
1843,20.83
1844,
1845,
1846,
1847,
1848,
1849,
1850,
1851,20.80
1852,20.96
1853,20.98
1854,21.06
1855,21.10
1856,20.14
1857,20.62
1858,19.79
1859,20.43
1860,21.13
1861,20.34
1862,20.30
1863,20.33
1864,20.33
1865,20.24
1866,20.44
1867,20.61
1868,21.46
1869,21.40
1870,21.38
1871,21.07
1872,21.00
1873,21.22
1874,20.58
1875,20.14
1876,20.39
1877,21.13
1878,21.55
1879,20.20
1880,21.18
1881,20.61
1882,20.05
1883,20.29
1884,20.17
1885,21.05
1886,20.31
1887,20.80
1888,21.17
1889,21.40
1890,20.63
1891,20.83
1892,20.62
1893,20.01
1894,20.89
1895,20.67
1896,20.70
1897,20.65
1898,20.90
1899,21.17
1900,20.94
1901,20.74
1902,21.24
1903,21.00
1904,20.03
1905,21.29
1906,20.93
1907,20.63
1908,20.95
1909,20.56
1910,20.81
1911,20.70
1912,20.73
1913,21.04
1914,21.46
1915,21.46
1916,20.83
1917,20.02
1918,20.52
1919,20.91
1920,20.79
1921,20.65
1922,21.15
1923,20.79
1924,20.70
1925,20.77
1926,21.05
1927,21.13
1928,21.43
1929,21.12
1930,21.27
1931,20.99
1932,21.54
1933,20.48
1934,21.11
1935,21.27
1936,21.37
1937,21.04
1938,21.26
1939,21.39
1940,21.47
1941,21.49
1942,21.16
1943,20.74
1944,21.10
1945,20.77
1946,21.55
1947,20.84
1948,21.14
1949,20.73
1950,21.11
1951,21.13
1952,21.14
1953,21.17
1954,21.65
1955,20.95
1956,20.67
1957,20.96
1958,21.49
1959,21.90
1960,21.03
1961,21.69
1962,20.74
1963,21.95
1964,20.73
1965,21.32
1966,21.41
1967,21.53
1968,20.51
1969,21.66
1970,21.43
1971,21.02
1972,21.61
1973,21.87
1974,21.14
1975,20.93
1976,21.07
1977,21.68
1978,20.94
1979,20.87
1980,21.63
1981,21.19
1982,21.50
1983,21.48
1984,22.14
1985,21.39
1986,21.84
1987,22.05
1988,21.63
1989,21.13
1990,21.88
1991,21.43
1992,21.35
1993,21.94
1994,21.91
1995,22.07
1996,21.56
1997,21.91
1998,22.35
1999,21.59
2000,21.69
2001,22.14
2002,22.50
2003,22.08
2004,21.59
2005,22.05
2006,21.82
2007,22.19
2008,21.86
2009,22.25
2010,22.12
2011,21.74
2012,22.16
2013,21.59
